Date,Pair,Open,High,Low,Close
8/14/2012 0:00,GBPUSD,1.56801,1.57263,1.56707,1.56759
8/15/2012 0:00,GBPUSD,1.56758,1.57006,1.56596,1.56789
8/16/2012 0:00,GBPUSD,1.56788,1.57437,1.56353,1.57344
8/17/2012 0:00,GBPUSD,1.57346,1.57385,1.56736,1.56935
8/20/2012 0:00,GBPUSD,1.56968,1.57166,1.56772,1.57084
8/21/2012 0:00,GBPUSD,1.57084,1.58033,1.57052,1.5782
8/22/2012 0:00,GBPUSD,1.57818,1.58824,1.57679,1.58809
8/23/2012 0:00,GBPUSD,1.5881,1.59113,1.58553,1.58578
8/24/2012 0:00,GBPUSD,1.58581,1.58683,1.58017,1.58089
8/27/2012 0:00,GBPUSD,1.58138,1.58276,1.57863,1.57886
8/28/2012 0:00,GBPUSD,1.57885,1.58349,1.57534,1.58176
8/29/2012 0:00,GBPUSD,1.58175,1.58537,1.5802,1.58281
8/30/2012 0:00,GBPUSD,1.58281,1.58741,1.57704,1.57839
8/31/2012 0:00,GBPUSD,1.57838,1.5894,1.57773,1.58636
9/3/2012 0:00,GBPUSD,1.58808,1.58976,1.5849,1.58835
9/4/2012 0:00,GBPUSD,1.58835,1.59079,1.58578,1.58737
9/5/2012 0:00,GBPUSD,1.58738,1.59333,1.58258,1.59009
9/6/2012 0:00,GBPUSD,1.5901,1.5941,1.58814,1.59348
9/7/2012 0:00,GBPUSD,1.59349,1.60333,1.59217,1.60075
9/10/2012 0:00,GBPUSD,1.60109,1.60175,1.59582,1.59871
9/11/2012 0:00,GBPUSD,1.5987,1.60829,1.59862,1.60675
9/12/2012 0:00,GBPUSD,1.60675,1.61301,1.60633,1.61078
9/13/2012 0:00,GBPUSD,1.61078,1.6173,1.60737,1.61498
9/14/2012 0:00,GBPUSD,1.61499,1.62541,1.61426,1.62143
9/17/2012 0:00,GBPUSD,1.62275,1.62721,1.621,1.62473
9/18/2012 0:00,GBPUSD,1.62473,1.62664,1.62201,1.62388
9/19/2012 0:00,GBPUSD,1.62389,1.62699,1.61839,1.62206
9/20/2012 0:00,GBPUSD,1.62206,1.62353,1.61627,1.62138
9/21/2012 0:00,GBPUSD,1.62141,1.63086,1.6212,1.62286
9/24/2012 0:00,GBPUSD,1.62427,1.62458,1.61813,1.62207
9/25/2012 0:00,GBPUSD,1.62207,1.62666,1.61816,1.61937
9/26/2012 0:00,GBPUSD,1.61936,1.62086,1.61367,1.61672
9/27/2012 0:00,GBPUSD,1.61675,1.62428,1.61653,1.6234
9/28/2012 0:00,GBPUSD,1.62344,1.62714,1.61123,1.61638
10/1/2012 0:00,GBPUSD,1.61544,1.6174,1.61081,1.61294
10/2/2012 0:00,GBPUSD,1.61294,1.61862,1.61244,1.61289
10/3/2012 0:00,GBPUSD,1.61289,1.61403,1.60661,1.60791
10/4/2012 0:00,GBPUSD,1.6079,1.62013,1.60757,1.61927
10/5/2012 0:00,GBPUSD,1.6193,1.62161,1.61222,1.61341
10/8/2012 0:00,GBPUSD,1.61362,1.61384,1.60179,1.602
10/9/2012 0:00,GBPUSD,1.60207,1.60451,1.59759,1.60017
10/10/2012 0:00,GBPUSD,1.60019,1.60338,1.59762,1.60007
10/11/2012 0:00,GBPUSD,1.60009,1.60534,1.5984,1.60467
10/12/2012 0:00,GBPUSD,1.60466,1.60964,1.60179,1.60673
10/15/2012 0:00,GBPUSD,1.60769,1.60797,1.60206,1.60716
10/16/2012 0:00,GBPUSD,1.60717,1.61335,1.606,1.61178
10/17/2012 0:00,GBPUSD,1.61177,1.61777,1.61116,1.61386
10/18/2012 0:00,GBPUSD,1.61387,1.617,1.60399,1.60473
10/19/2012 0:00,GBPUSD,1.60472,1.60664,1.59965,1.59993
10/22/2012 0:00,GBPUSD,1.60064,1.60516,1.59899,1.60121
10/23/2012 0:00,GBPUSD,1.60122,1.60235,1.59126,1.59509
10/24/2012 0:00,GBPUSD,1.5951,1.60475,1.59352,1.6036
10/25/2012 0:00,GBPUSD,1.60361,1.61427,1.60254,1.61186
10/26/2012 0:00,GBPUSD,1.61188,1.61401,1.60798,1.61027
10/29/2012 0:00,GBPUSD,1.60845,1.6092,1.60058,1.60321
10/30/2012 0:00,GBPUSD,1.60319,1.60848,1.60196,1.6083
10/31/2012 0:00,GBPUSD,1.60828,1.61382,1.60675,1.61314
11/1/2012 0:00,GBPUSD,1.61311,1.61743,1.61195,1.61306
11/2/2012 0:00,GBPUSD,1.61306,1.61324,1.60072,1.60208
11/5/2012 0:00,GBPUSD,1.60196,1.60387,1.59569,1.59786
11/6/2012 0:00,GBPUSD,1.59786,1.6007,1.59645,1.59928
11/7/2012 0:00,GBPUSD,1.59927,1.60419,1.59542,1.5981
11/8/2012 0:00,GBPUSD,1.59813,1.60037,1.59286,1.59784
11/9/2012 0:00,GBPUSD,1.59789,1.60186,1.58873,1.58938
11/12/2012 0:00,GBPUSD,1.59026,1.59147,1.5863,1.58762
11/13/2012 0:00,GBPUSD,1.58764,1.59149,1.58578,1.58705
11/14/2012 0:00,GBPUSD,1.58706,1.59007,1.58378,1.5841
11/15/2012 0:00,GBPUSD,1.58411,1.58784,1.58274,1.58607
11/16/2012 0:00,GBPUSD,1.58607,1.59005,1.58351,1.58792
11/19/2012 0:00,GBPUSD,1.58898,1.59223,1.58866,1.59054
11/20/2012 0:00,GBPUSD,1.59052,1.59354,1.58909,1.59252
11/21/2012 0:00,GBPUSD,1.5925,1.59563,1.58827,1.59546
11/22/2012 0:00,GBPUSD,1.59547,1.59779,1.59183,1.59385
11/23/2012 0:00,GBPUSD,1.59389,1.60504,1.5926,1.60252
11/26/2012 0:00,GBPUSD,1.60235,1.60371,1.5996,1.60322
11/27/2012 0:00,GBPUSD,1.60319,1.60551,1.60087,1.60155
11/28/2012 0:00,GBPUSD,1.60153,1.60221,1.59618,1.60124
11/29/2012 0:00,GBPUSD,1.60125,1.60476,1.60015,1.60414
11/30/2012 0:00,GBPUSD,1.60412,1.60617,1.59885,1.60107
12/3/2012 0:00,GBPUSD,1.60221,1.61152,1.60198,1.60945
12/4/2012 0:00,GBPUSD,1.60944,1.61303,1.60859,1.60999
12/5/2012 0:00,GBPUSD,1.60998,1.61176,1.60823,1.60914
12/6/2012 0:00,GBPUSD,1.60915,1.61272,1.60354,1.60415
12/7/2012 0:00,GBPUSD,1.60415,1.60604,1.60016,1.60374
12/10/2012 0:00,GBPUSD,1.60335,1.6096,1.6013,1.60747
12/11/2012 0:00,GBPUSD,1.60743,1.61207,1.60685,1.61145
12/12/2012 0:00,GBPUSD,1.61146,1.61708,1.60943,1.61371
12/13/2012 0:00,GBPUSD,1.6137,1.61527,1.60845,1.61102
12/14/2012 0:00,GBPUSD,1.61101,1.61768,1.6103,1.61718
12/17/2012 0:00,GBPUSD,1.61796,1.62159,1.61568,1.61981
12/18/2012 0:00,GBPUSD,1.61979,1.62686,1.61948,1.6245
12/19/2012 0:00,GBPUSD,1.62454,1.63061,1.62379,1.62493
12/20/2012 0:00,GBPUSD,1.62496,1.62954,1.62412,1.6275
12/21/2012 0:00,GBPUSD,1.62755,1.62758,1.61512,1.61686
12/24/2012 0:00,GBPUSD,1.61569,1.62055,1.61006,1.6132
12/26/2012 0:00,GBPUSD,1.61262,1.61701,1.6107,1.61328
12/27/2012 0:00,GBPUSD,1.61335,1.62018,1.60662,1.61005
12/28/2012 0:00,GBPUSD,1.61006,1.61699,1.60781,1.61455
12/31/2012 0:00,GBPUSD,1.61644,1.62737,1.61331,1.6257
1/1/2013 0:00,GBPUSD,1.62426,1.62569,1.62245,1.62513
1/2/2013 0:00,GBPUSD,1.62517,1.63806,1.62248,1.62519
1/3/2013 0:00,GBPUSD,1.62518,1.62529,1.60572,1.60825
1/4/2013 0:00,GBPUSD,1.60822,1.60985,1.60099,1.60678
1/7/2013 0:00,GBPUSD,1.6077,1.61275,1.60205,1.61266
1/8/2013 0:00,GBPUSD,1.61265,1.61266,1.60285,1.6058
1/9/2013 0:00,GBPUSD,1.60577,1.60745,1.59925,1.60164
1/10/2013 0:00,GBPUSD,1.60163,1.61761,1.60038,1.61625
1/11/2013 0:00,GBPUSD,1.61629,1.61699,1.60888,1.61271
1/14/2013 0:00,GBPUSD,1.61277,1.61542,1.60316,1.60725
1/15/2013 0:00,GBPUSD,1.60722,1.61001,1.60323,1.60597
1/16/2013 0:00,GBPUSD,1.60598,1.608,1.59752,1.59975
1/17/2013 0:00,GBPUSD,1.59977,1.60388,1.59549,1.59965
1/18/2013 0:00,GBPUSD,1.59964,1.59976,1.5854,1.5866
1/21/2013 0:00,GBPUSD,1.58528,1.58932,1.58057,1.58349
1/22/2013 0:00,GBPUSD,1.5835,1.5883,1.58092,1.58374
1/23/2013 0:00,GBPUSD,1.58374,1.58916,1.58015,1.58299
